Location;Name;InfType;WorkersCount;OpenData;CloseDate;Tourists;AvPrice;Tourists2022;Tourists2021;Tourists2020;Tourists2019;Tourists20218;Tourists2017;Tourists2016
"Городской округ ""Город Архангельск""";Кафе «Оливье»;Кафе;35;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе Inferno Lounge;Кафе;4;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «Санта Паста»;Кафе;22;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «Грядка Фэмили»;Кафе;40;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Гастрокафе ""Хочу лето""";Кафе;12;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе быстрого питания «Сытно и вкусно»;Кафе;10;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе-столовая ""Кухмистерская""";Кафе;4;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе-пекарня ""Крым""";Кафе;5;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе-галерея ""Степановъ""";Кафе;3;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе гастро-ателье;Кафе;3;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Бар ""Луда""";Кафе-бар;4;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Бургерная лавка ""Краснодарский парень"" ";Кафе;8;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кофейня ""Высотка""";Кафе;3;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кофейня «Римская»;Кафе;4;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кофейня «Библио-кофе»;Кафе;5;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Венская кофейня ;Кафе;6;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кофейня «Iris cafffee» ;Кафе;3;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кофейня ""Альтернатива""";Кафе;2;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кофейня ""Май-Май""";Кафе;4;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Пиццерия «Пицца Хаус»;Кафе;6;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Ресторан ""Азия""";Ресторан;9;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Столовая ""Грядка""";Столовая;6;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Пиццерия «Ницца»;Кафе;5;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе-пиццерия «Пицеролла»;Кафе;5;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Пиццерия «Престо»;Кафе;35;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кулинария ""Грядка"" ";Кафе;4;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кулинария ""Грядка""";Кафе;8;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кулинария ""Грядка""";Кафе;6;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Столовая ""Сковородка"" ";Столовая;3;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Столовая, кулинария  «Кушать подано»;Столовая;10;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Столовая «Маэстро»;Столовая;12;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Столовая пл. Ленина, 5;Столовая;64;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Столовая Дзержинского, 2;Столовая;6;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Столовая ""Романовъ""";Столовая;3;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Столовая ""Бублик-Маркет""";Столовая;15;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Столовая в АЦДТ;Столовая;5;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Столовая «Калитка»;Столовая;30;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Столовая ""Правда вкуса""";Столовая;5;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Столовая ""Романовъ""";Столовая;7;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";" Рестокафе ""Штаб""";Кафе;5;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Ресторан,бар  ""Пур-Наволок-Отель""";Ресторан;15;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Ресторан «Кабинет» ;Ресторан;18;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Ресторан ""Боброфф""";Ресторан;20;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Ресторан «Столица Поморья»;Ресторан;17;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Столовая «Большой куш»;Столовая;20;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Ресторан ""Roomi""";Ресторан;13;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Ресторан «Ялта»;Ресторан;15;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Ресторан «Старый Тифлис»;Ресторан;9;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Ресторан «Чайхона»;Ресторан;9;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Ресторан ""Cheesy""";Ресторан;10;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Ресторан ""Мимино""";Ресторан;10;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Бар ""Дон Галиано""";бар;5;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Бар ""Два пива»";бар;4;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Пивной бар «Ура»;бар;2;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Ресторан ""Эверест""";Ресторан;5;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Бар ""BBQ""";бар;4;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Бар «Дом пивовара»;бар;2;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Бар «АМБАР»;бар;2;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Бар в ТК «ЖД»;бар;7;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «Братья гриль»;Кафе;10;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе ""Моряна""";Кафе;4;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «Миндаль»;Кафе;12;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «Кружка»;Кафе;2;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе  ""Дружба """;Кафе;11;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Ресторан ""Inside""";Ресторан;7;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Мультиформатное кафе ""Суп и Бургер""";Кафе;5;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе ""Блин Хауз""";Кафе;36;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе-столовая «Ресто»;Столовая;3;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе-магазин «Большая кастрюля»;Кафе;16;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «Гроссен Ваген»;Кафе;4;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе-бар «Неолит»;Кафе;2;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе ""Офис""";Кафе;4;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Ресторан ""TABOO""";Ресторан;9;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Ресторан ""Кухня""";Ресторан;5;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе ""Колесо""";Кафе;5;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Бар Alter Ego;бар;3;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Ночной клуб ""Иксы""";бар;5;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе ""На Окружной""";Кафе;4;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе ""На часок» ТЦ «Пингвин»";Кафе;3;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе ""ЧойХона""";Кафе;3;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «На Гайдара»;Кафе;6;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «Три шоколада»;Кафе;4;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе-бар «Рай»;Кафе;4;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «Венский пекарь»;Кафе;9;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе-бистро «Две пиццы»;Кафе;6;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «Царь – блин»;Кафе;7;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе-бар «У Камандора»;Кафе;3;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «Удача»;Кафе;4;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кофейня ""Май-Май""";Кафе;4;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе-пиццерия «Ницца»;Кафе;6;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Скандинавское кафе ""ХОЛМС""";Кафе;8;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «Малина»;Кафе;13;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе ""STARFOODS"" ";Кафе;6;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «Subway»;Кафе;2;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «Smetana» ;Кафе;2;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «KeIзo»;Кафе;12;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «Вельвет»;Кафе;5;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «Бифштекс»;Кафе;13;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Бар «Яма»;Кафе-бар;12;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «Аэроплан»;Кафе;8;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «Шаверма»;Кафе;6;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе-бар  «Арктика»;Кафе;6;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе ""Санта Паста""";Кафе;7;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «В-85»;Кафе;12;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «Водник Про»;Кафе;4;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе ""STARFOODS""";Кафе;6;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе «Superburg» ;Кафе;4;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе ""Армянский дворик""";Кафе;4;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Суши-бар KIOKO;Кафе;3;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе быстрого питания «Вкусно и точка»;Кафе;12;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кафе ""Rampa street cafe""";Кафе;2;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Арт - кофейня;Кафе;8;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кофейня ""Coffelike""  ";Кафе;4;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Центральная кофейня;Кафе;2;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кофейня «Город А»;Кафе;20;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кофейня ""Coffelike""";Кафе;3;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кофейня «Charllote»;Кафе;8;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кофейня ""Coffee Co""";Кафе;5;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Пиццерия ""Додо Пицца"" ";Кафе;3;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Пиццерия «Фигарофф» ;Кафе;6;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Пиццерия «Ченто Пер Ченто»;Кафе;3;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Бистро «Дело вкуса»;Кафе;53;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Пекарня-кондитерская ""der Хлеб""";Кафе;3;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кондитерская ""NAPEKLA""";Кафе;4;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Буфет ""ЩиБорщи""";Столовая;3;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кафе-кулинария «Смак»;Кафе;1;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кулинария «Поежка»;Кафе;6;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Кулинария «Кушать подано»;Кафе;5;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кулинария ""Грядка""";Столовая;8;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";"Кулинария ""Фазенда""";Кафе;6;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
